entity,n-authors,n-revs
Code/CMS/CMS/Views/Shared/DisplayTemplates/VariantViewModel.cshtml,2,4
Code/CMS/CMS/Assets/sass/layout/_my-account.scss,2,4
Code/Core/WebPOS.Core.ServiceLayer/AutoMapperProfiles/UserMapperProfile.cs,2,4
Code/CMS/CMS/Views/Navigation/LeftNavigation.cshtml,2,4
Code/CMS/CMS/Views/Ecommerce/Controls/VariantHeader.cshtml,2,4
Code/Core/WebPOS.Core.ModelLayer/UserManagement/Roles/Role.cs,2,4
Code/ProjectLibraries/WebPOS.Project.ModelLayer/Addresses/AddressTypeIdentifiers.cs,2,4
Code/Integration/WebPOS.Integration.DTO/Responses/Prima/CustomerEnquiryResult.cs,2,3
Code/ProjectLibraries/WebPOS.Project.ModelLayer/Orders/OrderLineItemNames.cs,2,3
Code/CMS/CMS/Views/Auth/ForgotPassword.cshtml,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ServiceLayer/Filters/Auth/Stateside/HasStatesidePermissionBase.cs,2,3
Code/Integration/WebPOS.Integration/Factories/ProductImporterFactory.cs,2,3
Code/CMS/CMS/Views/Ecommerce/BundledProduct.cshtml,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/BatchOrderUploadPageModel.cs,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Layout/MiniBasketViewModel.cs,2,3
Code/CMS/CMS/Views/Shared/EditorTemplates/FormTextBoxPassword.cshtml,2,3
Code/Integration/WebPOS.Integration.DTO/Pricing/PriceRuleItem.cs,2,3
Code/Core/WebPOS.Core.RepositoryLayer/ProductManagement/Implementation/ProductRepository.cs,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/Checkout/BasketPageModelInitialiser.cs,2,3
Code/CMS/CMS/Views/Shared/SupportedCultures.cshtml,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ServiceLayer/WebPOS.Project.CMS.ServiceLayer.csproj,2,3
Code/Integration/WebPOS.Integration.DTO/Pricing/PriceItem.cs,2,3
Code/CMS/CMS/Views/Checkout/Basket.cshtml,2,3
Code/Integration/WebPOS.Integration.DTO/Responses/Prima/StockResult.cs,2,3
Database/CMS_Database/dbo/Tables/PagePermission.sql,2,3
Code/CMS/CMS/Views/Shared/EditorTemplates/AddressForm.cshtml,2,3
Code/Integration/WebPOS.Integration/Importers/Implementation/PriceBookImporter.cs,2,3
Code/Core/WebPOS.Core.ModelLayer/OrderManagement/OrderItemNames.cs,2,3
Code/Integration/WebPOS.Integration.DTO/Pricing/ProductPriceItem.cs,2,3
Code/CMS/CMS/app_build/modules/address.js,2,3
Code/CMS/CMS/Assets/sass/themes/_buttons-sts.scss,2,3
Code/Core/WebPOS.Core.ServiceLayer/Navigation/Implementation/NavigationManager.cs,2,3
Code/CMS/CMS/Areas/CMS/Views/MyAccount/MyAccount.cshtml,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/UserDetailsPageModel.cs,2,3
Code/Core/WebPOS.Core.ServiceLayer/Basket/Implementation/OrderLineCreator.cs,2,3
Code/Core/WebPOS.Core.ModelLayer/Navigation/NavigationPageBase.cs,2,3
Code/Admin/Admin/Views/Pages/Controls/ProductManagement/BundledProducts.cshtml,2,3
Code/CMS/CMS/Views/Shared/EditorTemplates/CheckboxViewModel.cshtml,2,3
Code/CMS/CMS/Controllers/Base/SiteController.cs,2,3
Code/Core/WebPOS.Core.DataLayer/Entities/PermissionEntity.cs,2,3
Code/CMS/CMS/app_build/modules/wishlist.js,2,3
Code/Integration/WebPOS.Integration/Persisters/Implementation/AccountPersister.cs,2,3
Code/CMS/CMS/app_build/modules/basket.js,2,3
Code/CMS/CMS/Assets/sass/main.scss,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/ProductPage/ProductPagesImagesViewModel.cs,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/MyAccount/UserManagementModelInitialiser.cs,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/MyProfilePageModel.cs,2,3
Code/CMS/CMS/app_build/modules/quickbuy.js,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/MyAccount/UserDetailsPageModelInitialiser.cs,2,3
Code/CMS/CMS/app_build/app/wishlist.js,2,3
Code/Integration/WebPOS.Integration.Conversion/Products/MatrixItemCsvConverter.cs,2,3
Code/CMS/CMS/Assets/sass/themes/_table-sts.scss,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Layout/SocialLinksViewModel.cs,2,3
Code/Core/WebPOS.Core.ServiceLayer/EmailManagement/Implementation/Senders/CustomerRegistrationRequestEmailSender.cs,2,3
Code/Core/WebPOS.Core.ServiceLayer/AutoMapperProfiles/VariantMapperProfile.cs,2,3
Code/CMS/CMS/Assets/sass/layout/_batch-order-upload.scss,2,3
Code/CMS/CMS/Views/Layout/Controls/Footer.cshtml,2,3
Code/CMS/CMS/Views/MyAccount/DisplayTemplates/PrintOrderPartViewModel.cshtml,2,3
Code/CMS/CMS/Assets/sass/modules/controls/_name-form.scss,2,3
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/MyAccount/BatchOrderUploadPageModelInitialiser.cs,2,3
Code/Core/WebPOS.Core.ModelLayer/CustomFieldManagement/CustomField.cs,2,3
Code/CMS/CMS/Assets/sass/modules/controls/_address-form.scss,2,3
Code/Admin/Admin/app_build/ViewModels/Products/ProductBundleItem.js,2,3
Code/CMS/CMS/Views/Auth/ResetPassword.cshtml,2,3
Code/CMS/CMS/app_build/user-management.js,2,2
Code/Core/WebPOS.Core.DataLayer/Entities/WishlistVariantEntity.cs,2,2
Code/Admin/Admin/API/Variants/VariantShortController.cs,2,2
Code/ProjectLibraries/WebPOS.Project.ModelLayer/Orders/OrderItemNames.cs,2,2
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/Content/ContactUsPageModel.cs,2,2
Code/Core/WebPOS.Core.ModelLayer/ProductManagement/Products/ProductBundleItem.cs,2,2
Database/CMS_Database/dbo/Tables/ProductBundleVariantItem.sql,2,2
Code/Admin/Admin/app_build/ViewModels/AdminPages/AdminAreaPage.js,2,2
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/ProductPage/ProductPageFromPricingViewModel.cs,2,2
Code/Admin/Admin/app_build/ViewModels/Addresses/Address.js,2,2
Code/Core/WebPOS.Core.ModelLayer/EmailManagement/EmailTypes/Data/UpdatedUserRequestData.cs,2,2
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Basket/AddToBasketItem.cs,2,2
Database/CMS_Database/dbo/Tables/PriceBook.sql,2,2
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Ecommerce/PriceViewModel.cs,2,2
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/MyAccount/ChangeEmailPageModel.cs,2,2
Code/Core/WebPOS.Core.ModelLayer/EmailManagement/EmailTypes/ProjectTemplates/RemoveUserRequestEmail.cs,2,2
Code/Core/WebPOS.Core.ServiceLayer/EmailManagement/Implementation/Senders/RemoveUserRequestEmailSender.cs,2,2
Code/Core/WebPOS.Core.ModelLayer/EmailManagement/EmailTypes/ProjectTemplates/UpdatedUserRequestEmail.cs,2,2
Code/CMS/CMS/Assets/sass/themes/_clearfix-block.scss,2,2
Code/Core/WebPOS.Core.DataLayer/Entities/PagePermissionEntity.cs,2,2
Code/CMS/CMS/app_build/app/quick-order.js,2,2
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/MyAccount/UserSummaryViewModel.cs,2,2
Code/CMS/CMS/Views/Checkout/Controls/Header.cshtml,2,2
Code/Admin/Admin/app_build/Components/Html/EditPageVersion.html,2,2
Code/Core/WebPOS.Core.ModelLayer/EmailManagement/EmailTypes/Data/CustomerRegistrationCompleteEmailData.cs,2,2
Code/CMS/CMS/app_build/app/basket.js,2,2
Code/CMS/CMS/Assets/sass/themes/fonts/_park-icons.scss,2,2
